Location,Offense_Category,Volume
Abandoned_Condemned Structure,Assault,757
Abandoned_Condemned Structure,Homicide,8
Abandoned_Condemned Structure,Human Trafficking,0
Abandoned_Condemned Structure,Kidnapping_Abduction,23
Abandoned_Condemned Structure,Sex,130
Abandoned_Condemned Structure,Arson,267
Abandoned_Condemned Structure,Bribery,2
Abandoned_Condemned Structure,Burglary/Breaking & Entering,1197
Abandoned_Condemned Structure,Counterfeiting/Forgery,17
Abandoned_Condemned Structure,Destruction/Damage/Vandalism ,1361
Abandoned_Condemned Structure,Embezzlement,3
Abandoned_Condemned Structure,Extortion/Blackmail,1
Abandoned_Condemned Structure,Fraud,85
Abandoned_Condemned Structure,Larceny/Theft,939
Abandoned_Condemned Structure,Motor Vehicle Theft,149
Abandoned_Condemned Structure,Robbery,63
Abandoned_Condemned Structure,Stolen Property,44
Abandoned_Condemned Structure,Animal Cruelty,11
Abandoned_Condemned Structure,Drug/Narcotic,616
Abandoned_Condemned Structure,Gambling,1
Abandoned_Condemned Structure,Pornography/Obscene Material,1
Abandoned_Condemned Structure,Prostitution,5
Abandoned_Condemned Structure,Weapon Law Violations,78
Air/Bus/Train Terminal,Assault,5971
Air/Bus/Train Terminal,Homicide,19
Air/Bus/Train Terminal,Human Trafficking,2
Air/Bus/Train Terminal,Kidnapping_Abduction,34
Air/Bus/Train Terminal,Sex,296
Air/Bus/Train Terminal,Arson,71
Air/Bus/Train Terminal,Bribery,1
Air/Bus/Train Terminal,Burglary/Breaking & Entering,294
Air/Bus/Train Terminal,Counterfeiting/Forgery,138
Air/Bus/Train Terminal,Destruction/Damage/Vandalism ,2926
Air/Bus/Train Terminal,Embezzlement,31
Air/Bus/Train Terminal,Extortion/Blackmail,6
Air/Bus/Train Terminal,Fraud,2264
Air/Bus/Train Terminal,Larceny/Theft,6615
Air/Bus/Train Terminal,Motor Vehicle Theft,790
Air/Bus/Train Terminal,Robbery,680
Air/Bus/Train Terminal,Stolen Property,143
Air/Bus/Train Terminal,Animal Cruelty,13
Air/Bus/Train Terminal,Drug/Narcotic,3610
Air/Bus/Train Terminal,Gambling,0
Air/Bus/Train Terminal,Pornography/Obscene Material,15
Air/Bus/Train Terminal,Prostitution,17
Air/Bus/Train Terminal,Weapon Law Violations,2037
Amusement Park,Assault,574
Amusement Park,Homicide,1
Amusement Park,Human Trafficking,0
Amusement Park,Kidnapping_Abduction,5
Amusement Park,Sex,51
Amusement Park,Arson,3
Amusement Park,Bribery,0
Amusement Park,Burglary/Breaking & Entering,121
Amusement Park,Counterfeiting/Forgery,38
Amusement Park,Destruction/Damage/Vandalism ,264
Amusement Park,Embezzlement,12
Amusement Park,Extortion/Blackmail,0
Amusement Park,Fraud,88
Amusement Park,Larceny/Theft,767
Amusement Park,Motor Vehicle Theft,58
Amusement Park,Robbery,30
Amusement Park,Stolen Property,6
Amusement Park,Animal Cruelty,0
Amusement Park,Drug/Narcotic,121
Amusement Park,Gambling,0
Amusement Park,Pornography/Obscene Material,2
Amusement Park,Prostitution,0
Amusement Park,Weapon Law Violations,28
Arena/Stadium/Fairgrounds/Coliseum,Assault,639
Arena/Stadium/Fairgrounds/Coliseum,Homicide,0
Arena/Stadium/Fairgrounds/Coliseum,Human Trafficking,0
Arena/Stadium/Fairgrounds/Coliseum,Kidnapping_Abduction,0
Arena/Stadium/Fairgrounds/Coliseum,Sex,45
Arena/Stadium/Fairgrounds/Coliseum,Arson,12
Arena/Stadium/Fairgrounds/Coliseum,Bribery,0
Arena/Stadium/Fairgrounds/Coliseum,Burglary/Breaking & Entering,263
Arena/Stadium/Fairgrounds/Coliseum,Counterfeiting/Forgery,32
Arena/Stadium/Fairgrounds/Coliseum,Destruction/Damage/Vandalism ,530
Arena/Stadium/Fairgrounds/Coliseum,Embezzlement,12
