State,Total_law_ employees,male_officers,female_officers,male_civilians,female_civilians,Num_Agencies,Est_pop
Alabama,17985,11203,1014,2003,3765,387,4851203
Alaska,2002,1170,120,265,447,37,730400
Arizona,22526,11308,1450,4485,5283,110,7359580
Arkansas,10442,6087,724,1375,2256,288,3011972
California,120756,68774,10862,15350,25770,460,33781093
Colorado,18853,10801,1885,2260,3907,237,5753378
Connecticut,9163,6814,892,595,862,107,3557006
Delaware,3810,2407,320,387,696,55,985364
District of Columbia,4975,3267,919,309,480,3,712816
Florida,74207,38522,7330,10838,17517,335,20251225
Georgia,34491,20679,4421,2966,6425,451,9552544
Hawaii,3698,2561,335,257,545,4,1407006
Idaho,5839,2775,228,1258,1578,109,1822223
Illinois,36422,21791,4614,5289,4728,323,8657369
Indiana,11620,7474,729,1604,1813,106,3873793
Iowa,8316,4911,502,1202,1701,243,3073517
Kansas,8107,4978,683,896,1550,287,2126574
Kentucky,9697,6939,519,868,1371,274,3825181
Louisiana,8254,4774,1282,804,1394,88,1644970
Maine,2937,2152,206,213,366,133,1350141
Maryland,20114,13308,2073,1778,2955,123,5876631
Massachusetts,20521,15157,1562,1572,2230,314,6446417
Michigan,24985,15603,2395,3295,3692,614,9584727
Minnesota,15530,8757,1224,2443,3106,397,5643318
Mississippi,7630,4439,540,997,1654,180,2420875
Missouri,16375,10397,1297,1926,2755,347,4631677
Montana,3411,1860,153,654,744,111,1077405
Nebraska,5252,3287,409,511,1045,154,1877623
Nevada,10471,6483,941,718,2329,48,2852910
New Hampshire,3718,2583,280,253,602,178,1304483
New Jersey,49586,33711,4917,4485,6473,528,8542489
New Mexico,1428,871,117,169,271,47,434293
New York,79011,48743,9002,7816,13450,375,17057766
North Carolina,34612,21269,3074,4498,5771,519,10593215
North Dakota,2556,1601,229,302,424,106,763847
Ohio,18928,12415,1667,1875,2971,258,6262555
Oklahoma,13055,8017,779,1835,2424,429,3975951
Oregon,10937,5761,720,1931,2525,195,4218085
Pennsylvania,30251,23043,2776,1619,2813,975,9658390
Rhode Island,3122,2301,214,247,360,48,1057125
South Carolina,16451,10196,1712,1717,2826,343,5079159
South Dakota,3082,1648,175,573,686,133,877647
Tennessee,27972,15718,1933,4702,5619,448,6812631
Texas,97865,50894,7829,16501,22641,961,28635940
Utah,7699,4901,425,1082,1291,137,3175411
Vermont,1641,1058,145,155,283,85,622368
Virginia,24598,16650,2730,1416,3802,283,8588686
Washington,15947,9820,1153,2005,2969,255,7663848
West Virginia,4580,3478,142,359,601,284,1774872
Wisconsin,17617,10316,1790,2351,3160,406,5725072
Wyoming,2734,1390,144,505,695,59,560518
