State,City,Population,Total_law_employees,Total_officers,Total_civilians
Alabama,Abbeville,2545,10,9,1
Alabama,Adamsville,4257,25,14,11
Alabama,Addison,714,3,3,0
Alabama,Alabaster,33750,79,63,16
Alabama,Albertville,21769,67,45,22
Alabama,Alexander City,14251,68,53,15
Alabama,Aliceville,2230,6,5,1
Alabama,Altoona,910,5,5,0
Alabama,Andalusia,8643,35,28,7
Alabama,Anniston,21112,89,82,7
Alabama,Arab,8416,35,26,9
Alabama,Ardmore,1495,9,5,4
Alabama,Argo,4377,7,7,0
Alabama,Arley,344,2,2,0
Alabama,Ashford,2184,4,4,0
Alabama,Ashland,1880,9,8,1
Alabama,Ashville,2380,4,4,0
Alabama,Athens,28039,57,46,11
Alabama,Atmore,8997,34,25,9
Alabama,Attalla,5742,28,22,6
Alabama,Auburn,67814,139,130,9
Alabama,Baker Hill,249,4,3,1
Alabama,Bay Minette,9482,30,22,8
Alabama,Bayou La Batre,2466,18,13,5
Alabama,Bear Creek,1068,2,2,0
Alabama,Berry,1090,4,4,0
Alabama,Bessemer,26347,157,112,45
Alabama,Birmingham,209081,1034,828,206
Alabama,Blountsville,1668,5,5,0
Alabama,Boaz,9730,33,22,11
Alabama,Brantley,764,5,4,1
Alabama,Brent,4725,7,7,0
Alabama,Brewton,5189,33,24,9
Alabama,Bridgeport,2282,10,6,4
Alabama,Brighton,2757,14,8,6
Alabama,Brilliant,870,1,1,0
Alabama,Brookside,1325,16,12,4
Alabama,Brookwood,1851,6,6,0
Alabama,Brundidge,1884,10,6,4
Alabama,Calera,15093,43,34,9
Alabama,Camden,1739,11,9,2
Alabama,Camp Hill,944,5,5,0
Alabama,Carrollton,935,3,3,0
Alabama,Cedar Bluff,1823,6,6,0
Alabama,Centre,3547,14,13,1
Alabama,Centreville,2591,6,6,0
Alabama,Chatom,1171,3,3,0
Alabama,Cherokee,1004,1,1,0
Alabama,Chickasaw,5661,20,20,0
Alabama,Childersburg,4804,20,18,2
Alabama,Citronelle,3856,20,11,9
Alabama,Clanton,8812,26,25,1
Alabama,Clayton,2831,4,4,0
Alabama,Clio,1263,4,4,0
Alabama,Coaling,1663,4,4,0
Alabama,Coffeeville,319,3,3,0
Alabama,Collinsville,2012,8,4,4
Alabama,Columbia,737,2,2,0
