Offense_Category,Total_Offenders,Adult,Juvenile,Unknown_Age
Assault,1916007,1637423,149061,129523
Homicide,13169,10427,895,1847
Human Trafficking,1526,1266,58,202
Kidnapping_Abduction,31672,28380,953,2339
Sex,120298,87400,20514,12384
Arson,15675,9755,2204,3716
Bribery,691,626,21,44
Burglary/Breaking & Entering,352844,197453,22798,132593
Counterfeiting/Forgery,84308,63758,1301,19249
Destruction/Damage/Vandalism ,663771,409097,63372,191302
Embezzlement,20438,18442,789,1207
Extortion/Blackmail,5661,2599,180,2882
Fraud,344021,202802,7733,133486
Larceny/Theft,1556452,949297,82865,524290
Motor Vehicle Theft,256851,138769,21383,96699
Robbery,146933,88871,16954,41108
Stolen Property,89164,75845,9199,4120
Animal Cruelty,10414,8834,335,1245
Drug/Narcotic,1295689,1213705,70925,11059
Gambling,2122,1999,48,75
Pornography/Obscene Material,21137,11933,6348,2856
Prostitution,8998,8673,118,207
Weapon Law Violations,215231,182676,16325,16230
