Offense_Category,Total_Offenders,White,Black_African_American,American_Indian_Alaska_Native,Asian,Native_Hawaiian_Other_Pacific_Islander,Unknown_Race
Assault,1916007,1037246,722340,23948,18007,5697,108769
Homicide,13169,4945,6285,142,80,34,1683
Human Trafficking,1526,666,611,13,31,7,198
Kidnapping_Abduction,31672,17800,11271,496,312,151,1642
Sex,120298,74257,29448,1274,1434,272,13613
Arson,15675,7989,3406,190,145,32,3913
Bribery,691,511,113,7,9,2,49
Burglary/Breaking & Entering,352844,145278,76122,3086,2062,495,125801
Counterfeiting/Forgery,84308,44535,19495,838,882,135,18423
Destruction/Damage/Vandalism ,663771,282567,182124,6265,4844,840,187131
Embezzlement,20438,11428,6974,195,211,41,1589
Extortion/Blackmail,5661,2012,649,21,126,12,2841
Fraud,344021,129465,68102,2667,4019,468,139300
Larceny/Theft,1556452,670506,388839,15508,10775,2772,468052
Motor Vehicle Theft,256851,102745,53514,3123,1585,637,95247
Robbery,146933,42454,85601,1216,836,729,16097
Stolen Property,89164,51728,28702,1625,1162,504,5443
Animal Cruelty,10414,6442,2468,76,117,25,1286
Drug/Narcotic,1295689,896430,327343,20572,8844,1861,40639
Gambling,2122,925,442,13,304,210,228
Pornography/Obscene Material,21137,13469,3723,118,271,29,3527
Prostitution,8998,4722,3350,56,532,42,296
Weapon Law Violations,215231,94812,101116,1712,1475,396,15720
