State,Offense_Category,Offense_Type,Volume
Alabama,Assault,Person,4214
Alabama,Homicide,Person,24
Alabama,Human Trafficking,Person,0
Alabama,Kidnapping_Abduction,Person,52
Alabama,Sex,Person,94
Alabama,Arson,Property,34
Alabama,Bribery,Property,0
Alabama,Burglary/Breaking & Entering,Property,910
Alabama,Counterfeiting/Forgery,Property,186
Alabama,Destruction/Damage/Vandalism ,Property,1375
Alabama,Embezzlement,Property,40
Alabama,Extortion/Blackmail,Property,13
Alabama,Fraud,Property,820
Alabama,Larceny/Theft,Property,3840
Alabama,Motor Vehicle Theft,Property,541
Alabama,Robbery,Property,66
Alabama,Stolen Property,Property,156
Alabama,Animal Cruelty,Society,43
Alabama,Drug/Narcotic,Society,2903
Alabama,Gambling,Society,1
Alabama,Pornography/Obscene Material,Society,11
Alabama,Prostitution,Society,0
Alabama,Weapon Law Violations,Society,277
Arizona,Assault,Person,16756
Arizona,Homicide,Person,86
Arizona,Human Trafficking,Person,5
Arizona,Kidnapping_Abduction,Person,302
Arizona,Sex,Person,1291
Arizona,Arson,Property,186
Arizona,Bribery,Property,1
Arizona,Burglary/Breaking & Entering,Property,4404
Arizona,Counterfeiting/Forgery,Property,567
Arizona,Destruction/Damage/Vandalism ,Property,8390
Arizona,Embezzlement,Property,147
Arizona,Extortion/Blackmail,Property,113
Arizona,Fraud,Property,6778
Arizona,Larceny/Theft,Property,23063
Arizona,Motor Vehicle Theft,Property,2611
Arizona,Robbery,Property,720
Arizona,Stolen Property,Property,304
Arizona,Animal Cruelty,Society,182
Arizona,Drug/Narcotic,Society,16530
Arizona,Gambling,Society,0
Arizona,Pornography/Obscene Material,Society,232
Arizona,Prostitution,Society,39
Arizona,Weapon Law Violations,Society,1256
Arkansas,Assault,Person,60103
Arkansas,Homicide,Person,340
Arkansas,Human Trafficking,Person,2
Arkansas,Kidnapping_Abduction,Person,685
Arkansas,Sex,Person,2763
Arkansas,Arson,Property,556
Arkansas,Bribery,Property,1
Arkansas,Burglary/Breaking & Entering,Property,14994
Arkansas,Counterfeiting/Forgery,Property,3868
Arkansas,Destruction/Damage/Vandalism ,Property,26063
Arkansas,Embezzlement,Property,77
Arkansas,Extortion/Blackmail,Property,47
Arkansas,Fraud,Property,23636
Arkansas,Larceny/Theft,Property,54991
Arkansas,Motor Vehicle Theft,Property,7355
Arkansas,Robbery,Property,1440
Arkansas,Stolen Property,Property,2481
Arkansas,Animal Cruelty,Society,11
