Offense_Category,Total_Victims,Adult,Juvenile,Unknown_Age
Assault,2063412,1825007,213583,24822
Homicide,11815,10524,1185,106
Human Trafficking,1576,600,795,181
Kidnapping_Abduction,31216,24872,6088,256
Sex,127261,54052,71933,1276
Arson,18219,16350,762,1107
Bribery,463,391,44,28
Burglary/Breaking & Entering,467235,453652,7004,6579
Counterfeiting/Forgery,51187,48515,556,2116
Destruction/Damage/Vandalism ,845368,825049,10253,10066
Embezzlement,5452,5295,38,119
Extortion/Blackmail,9294,8301,924,69
Fraud,588383,573821,5831,8731
Larceny/Theft,1811008,1757851,31953,21204
Motor Vehicle Theft,381071,375423,1685,3963
Robbery,117663,108536,8422,705
Stolen Property,66771,57711,1401,7659
