Offense_Category,Total_Victims,White,Black_African_American,American_Indian_Alaska_Native,Asian,Native_Hawaiian_Other_Pacific_Islander,Unknown_Race
Assault,2063412,1276886,665822,22031,23463,5670,69540
Homicide,11815,4999,6279,130,111,21,275
Human Trafficking,1576,883,391,23,37,6,236
Kidnapping_Abduction,31216,20598,8537,504,375,114,1088
Sex,127261,92125,23558,1630,1406,275,8267
Arson,18219,10988,4824,138,255,48,1966
Bribery,463,383,40,3,1,0,36
Burglary/Breaking & Entering,467235,332380,91740,3200,11199,1121,27595
Counterfeiting/Forgery,51187,37810,5938,300,1180,89,5870
Destruction/Damage/Vandalism ,845368,548102,225302,5828,15361,1519,49256
Embezzlement,5452,3976,902,64,129,22,359
Extortion/Blackmail,9294,7130,961,56,343,21,783
Fraud,588383,427498,84820,2693,15255,883,57234
Larceny/Theft,1811008,1279712,332379,10164,42833,4779,141141
Motor Vehicle Theft,381071,260653,83932,2733,6640,1105,26008
Robbery,117663,70244,36652,1186,4381,709,4491
Stolen Property,66771,40739,8219,377,1026,101,16309
